attempt,futureRevenueCagr,normalizedOperatingMargin,capexAsPercentRevenue,workingCapitalAsPercentRevenue,wacc,terminalGrowth,estimatedValuePerShare,terminalValueShare,terminalReinvestmentRate
14801,0.1463848556,0.4296910086,0.2288713597,-0.0192533796,0.0935060339,0.0328612856,772.92750336,0.7724588681,0.0880419975
14901,0.1188704965,0.406002272,0.2281428441,-0.022429195,0.0908230545,0.0290421217,625.99323363,0.7646919625,0.077809689
15001,0.1315827575,0.4158146602,0.2274944872,-0.0216638765,0.0909708883,0.0261638422,669.32320265,0.7592044859,0.0700981989
15101,0.1232135961,0.4083691539,0.2235933934,-0.0204034912,0.091262674,0.0285224019,639.16554477,0.7607955159,0.0764172549
15201,0.1289967799,0.4030140013,0.223851262,-0.019236176,0.0917360501,0.0298287395,653.80169668,0.7668199953,0.0799171963
15301,0.1201661181,0.4075847666,0.2268635618,-0.019579447,0.091533757,0.0303905955,633.59513448,0.7670944088,0.0814225217
15401,0.1228684704,0.427249874,0.230208813,-0.0214912021,0.089256423,0.0307446052,709.79321198,0.7736461587,0.0823709849
15501,0.1477642428,0.4191756519,0.2264306398,-0.0214214987,0.0891679384,0.0300371004,799.64331978,0.7789227892,0.0804754372
15601,0.1256945548,0.3969716041,0.2234634998,-0.0195226488,0.0867155992,0.0292650167,689.25212289,0.7821361587,0.0784068696
15701,0.1201329422,0.4273601087,0.2291447052,-0.0234143592,0.0916291572,0.0319101435,679.25773455,0.7653167902,0.0854936964
15801,0.1478308133,0.3911835744,0.2296064376,-0.0217738625,0.0949382077,0.0312828379,672.91901813,0.7715109618,0.0838130186
15901,0.1154369785,0.4065192937,0.2322022567,-0.0219332467,0.0920166698,0.0323475205,620.68245866,0.771569734,0.0866655175
16001,0.1223172482,0.4055626625,0.2274879359,-0.0200827323,0.0894038373,0.0288544294,652.22300276,0.7716519101,0.0773068233
16101,0.1202143524,0.3986557663,0.2308099943,-0.0183286066,0.0927460244,0.0272417473,581.62833565,0.7617393139,0.0729861236
16201,0.1113905411,0.409405295,0.2274936815,-0.0226741118,0.0946050493,0.0282835754,562.22342627,0.7457842271,0.0757773908
16301,0.1179119733,0.4009614531,0.2242379264,-0.0179999995,0.0905703872,0.030568278,626.93319889,0.7707473512,0.0818985686
16401,0.1468070382,0.4129465376,0.2262270906,-0.0190333597,0.0924479936,0.0334960605,763.46542746,0.7794138144,0.0897426872
16501,0.155479149,0.4137827089,0.2276857419,-0.0230276247,0.0897960681,0.027969703,795.30692242,0.7748129818,0.0749364633
16601,0.1314515121,0.4171519923,0.2355099979,-0.023595669,0.0944998849,0.0336805718,678.48138166,0.7707807815,0.0902370302
