attempt,futureRevenueCagr,normalizedOperatingMargin,capexAsPercentRevenue,workingCapitalAsPercentRevenue,wacc,terminalGrowth,estimatedValuePerShare,terminalValueShare,terminalReinvestmentRate
15101,0.1960736434,0.6001922635,0.0262444689,0.075162208,0.1183509583,0.0306411506,127.72446545,0.6572061838,0.0766028764
15201,0.1658631315,0.5994278451,0.0250573597,0.0772067635,0.1146948611,0.0322684625,115.18602834,0.6617502513,0.0806711562
15301,0.1735789501,0.5946840092,0.0268714567,0.0736997466,0.1157826901,0.0299526535,115.70876376,0.655396006,0.0748816338
15401,0.1865648184,0.6071458459,0.0252194976,0.0729235253,0.1119725635,0.0268502492,130.6264967,0.6634042966,0.067125623
15501,0.1706454506,0.5859379364,0.021931419,0.0772444712,0.1115895537,0.032190405,120.49630984,0.6731529676,0.0804760125
15601,0.1416555699,0.6011934136,0.0247269558,0.0758314819,0.1157942705,0.028192097,97.65593772,0.6381680438,0.0704802424
15701,0.1597179459,0.5889988564,0.0251689186,0.0758204664,0.117243821,0.0264671816,102.29726644,0.6383188478,0.0661679541
15801,0.1828806605,0.6098600257,0.0241764308,0.0746821633,0.1149720378,0.0276235457,124.40056651,0.6543774508,0.0690588642
15901,0.1832119825,0.6066150744,0.0238936855,0.074731772,0.1061939198,0.0294840885,141.29240874,0.6874975769,0.0737102212
16001,0.1967910413,0.6028029357,0.0297613695,0.0754581934,0.1127451132,0.0270145119,134.87002557,0.6688128891,0.0675362798
16101,0.1774960874,0.608617535,0.023066065,0.078516384,0.1193654022,0.0281625096,114.40414595,0.6411282671,0.0704062741
16201,0.1487197791,0.6158070018,0.0259992408,0.0731581379,0.1149753727,0.0284421944,105.35357864,0.6425377616,0.0711054859
16301,0.1874632998,0.6092113569,0.0326429155,0.0748092605,0.1125084381,0.0317195328,134.30236446,0.6774787293,0.0792988321
16401,0.1617838654,0.6065307357,0.0262466256,0.0744628105,0.1140410866,0.0279455796,112.0116828,0.651113534,0.069863949
16501,0.1710246284,0.6100937365,0.0219261933,0.0776448853,0.1189700876,0.0305298292,113.140754,0.6438387809,0.0763245731
16601,0.1540157931,0.5948444688,0.0333336892,0.0781881492,0.1200307796,0.0299006448,98.08696384,0.6396689903,0.074751612
16701,0.1707023323,0.5791671319,0.0260301228,0.0742726007,0.1154615961,0.0320205604,112.82685967,0.6610936174,0.080051401
16801,0.1727746367,0.6105870763,0.0279060875,0.0785486013,0.1147991739,0.0321857841,121.23038835,0.6650719953,0.0804644604
16901,0.1527265943,0.6166093226,0.0270673973,0.0768241207,0.1115904289,0.0295427394,112.99765053,0.6600824406,0.0738568485
17001,0.1626493578,0.5811966927,0.0289172763,0.0758182095,0.1129695667,0.03249504,112.13294532,0.6694672001,0.0812376001
17101,0.1701167012,0.610537633,0.0257528199,0.0737721393,0.1166391475,0.0309270065,116.32491499,0.6517950813,0.0773175163
17201,0.1761342481,0.5999043297,0.0252395373,0.077106121,0.1177238518,0.0302753844,115.56316701,0.6513878024,0.075688461
17301,0.1540739742,0.6181228398,0.0309651577,0.0758419699,0.1077754738,0.0284522682,118.9653962,0.6720554132,0.0711306704
17401,0.1596508631,0.5993900674,0.0291988546,0.0750016163,0.1110110236,0.0306750398,115.60034995,0.6688125069,0.0766875995
17501,0.1632387854,0.5933436441,0.0306658673,0.0739858917,0.1110268041,0.0292036766,115.33991423,0.6673677589,0.0730091915
17601,0.1729213191,0.5957695169,0.0256189367,0.0783246536,0.1170491695,0.0267248813,111.1804101,0.6456974131,0.0668122032
17701,0.152016017,0.6023295324,0.0223480673,0.0742701176,0.1140981497,0.026570048,104.91126005,0.6422104846,0.06642512
17801,0.1618932928,0.6106878336,0.0251080755,0.0731881644,0.1182760191,0.0283465811,107.55210977,0.6369751365,0.0708664529
17901,0.167373445,0.603438319,0.023222795,0.0788860703,0.1111597763,0.0330039765,123.31152427,0.6754773519,0.0825099414
